,nome_candidato,uf,partido,estrelas_legisla_int,tempo_mandato,em_exercicio,tipo,gasto_gabinete,producao_legislativa,fiscalizacao,mobilizaca,alinhamento_partidario
353,Marcelo Moraes,RS,PL,2,3,Sim,TITULAR,150031.57,2.5,1.3,3.0,6.4
354,Marcelo Nilo,BA,REPUBLICANOS,2,3,Sim,TITULAR,227020.92,2.4,0.4,3.0,5.5
355,Marcelo Ramos,AM,PSD,4,3,Sim,TITULAR,172523.03,6.4,2.0,5.5,0.9
356,Marcio Alvino,SP,PL,2,3,Sim,TITULAR,0.00,1.6,1.1,3.9,9.1
357,Márcio Biolchi,RS,MDB,2,3,Sim,TITULAR,225423.91,1.9,0.2,0.6,5.5
358,Márcio Jerry,MA,PCdoB,2,3,Sim,TITULAR,74916.87,2.2,0.9,3.0,10.0
359,Márcio Labre,RJ,PL,2,3,Sim,TITULAR,175282.71,3.1,0.9,2.1,7.3
360,Márcio Marinho,BA,REPUBLICANOS,3,3,Sim,TITULAR,190757.44,2.7,0.2,4.5,9.1
361,Marco Bertaiolli,SP,PSD,3,3,Sim,TITULAR,182976.62,3.3,1.1,4.2,5.5
362,Marcon,RS,PT,4,3,Sim,TITULAR,227953.31,3.9,3.8,4.8,7.3
363,Marcos Aurélio Sampaio,PI,PSD,2,3,Sim,TITULAR,200934.49,2.0,0.2,2.1,9.1
364,Marcos Pereira,SP,REPUBLICANOS,3,3,Sim,TITULAR,133697.99,3.5,0.9,2.7,7.3
365,Marcos Soares,RJ,UNIÃO,1,1,Sim,SUPLENTE,188581.32,0.8,0.4,1.2,7.3
366,Margarete Coelho,PI,PP,3,3,Sim,TITULAR,206953.37,4.8,0.7,4.5,8.2
367,Margarida Salomão,MG,PT,3,1,Não,TITULAR,0.00,3.0,2.2,5.5,10.0
368,Maria do Rosário,RS,PT,5,3,Sim,TITULAR,228478.15,7.2,2.5,6.4,8.2
369,Maria Rosas,SP,REPUBLICANOS,3,3,Sim,TITULAR,67468.80,3.6,1.3,3.0,10.0
370,Mariana Carvalho,RO,REPUBLICANOS,3,3,Não,TITULAR,167319.17,3.1,2.4,4.8,5.5
371,Marília Arraes,PE,SOLIDARIEDADE,4,3,Sim,TITULAR,201376.94,5.3,2.7,5.2,9.1
372,Marina Santos,PI,REPUBLICANOS,2,3,Sim,TITULAR,205565.88,2.7,1.1,2.4,8.2
373,Mário Heringer,MG,PDT,4,3,Sim,TITULAR,204872.61,5.5,2.2,3.6,8.2
374,Mário Negromonte Jr.,BA,PP,2,3,Sim,TITULAR,209538.01,2.4,0.9,1.8,5.5
375,Marlon Santos,RS,PL,2,3,Sim,TITULAR,256977.95,1.7,0.7,1.8,0.9
376,Marreca Filho,MA,PATRIOTA,3,3,Sim,TITULAR,263535.04,4.9,2.2,3.3,6.4
377,Marx Beltrão,AL,PP,2,3,Sim,TITULAR,194202.66,2.7,1.1,2.4,6.4
378,Maurício Dziedricki,RS,PODE,2,3,Sim,TITULAR,223138.37,3.3,0.0,3.0,6.4
379,Mauro Benevides Filho,CE,PDT,2,3,Sim,TITULAR,112246.49,1.6,1.8,2.1,9.1
380,Mauro Lopes,MG,PP,2,3,Sim,TITULAR,200993.25,2.6,0.9,2.7,7.3
381,Mauro Nazif,RO,PSB,4,3,Sim,TITULAR,57177.64,7.0,0.7,5.2,0.9
382,Merlong Solano,PI,PT,3,3,Sim,SUPLENTE,244127.88,2.8,2.7,3.0,8.2
383,Miguel Haddad,SP,PSDB,1,2,Não,SUPLENTE,53886.49,0.7,0.9,0.6,8.2
384,Miguel Lombardi,SP,PL,2,3,Sim,TITULAR,164971.23,2.4,1.5,1.8,6.4
385,Milton Coelho,PE,PSB,2,1,Sim,SUPLENTE,254933.07,1.7,1.1,2.4,7.3
386,Milton Vieira,SP,REPUBLICANOS,2,3,Sim,TITULAR,169793.49,2.4,0.9,1.8,10.0
387,Misael Varella,MG,PSD,2,3,Sim,TITULAR,184769.85,1.7,1.1,1.5,7.3
388,Moses Rodrigues,CE,UNIÃO,2,3,Sim,TITULAR,215526.96,2.3,1.5,1.8,8.2
389,Natália Bonavides,RN,PT,4,3,Sim,TITULAR,209425.40,6.3,2.5,5.2,9.1
390,Nelson Barbudo,MT,PL,3,3,Sim,TITULAR,268169.58,3.2,0.7,2.1,9.1
391,Nelson Pellegrino,BA,PT,2,0,Não,TITULAR,0.00,1.6,1.8,1.8,10.0
392,Nereu Crispim,RS,PSD,4,3,Sim,TITULAR,225056.98,5.5,1.1,6.1,3.6
393,Neri Geller,MT,PP,2,3,Sim,TITULAR,193805.88,2.7,0.7,2.1,10.0
